district,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015,HDI_2016,HDI_2017,HDI_2018,HDI_2019,HDI_2020,HDI_2021,HDI_2022,HDI_2023,PopDens2010,PopDens2011,PopDens2012,PopDens2013,PopDens2014,PopDens2015,PopDens2016,PopDens2017,PopDens2018,PopDens2019,PopDens2020,PopDens2021,PopDens2022,PopDens2023
Banyuasin,60.31,61.04,61.69,62.42,63.21,64.15,65.01,65.85,66.4,66.9,66.74,67.13,67.93,68.65,,,,,,,,,,,,,,
Banyumas,66.87,67.45,68.06,68.55,69.25,69.89,70.49,70.75,71.3,71.96,71.98,72.44,73.17,73.86,1213.1419,1103.751459,1117.549626,1128.856462,1139.949971,1150.524247,1160.448429,1170.624909,1179.986484,1131.143482,1140.3752,1275.143235,1287.607492,1297.662236
Banyuwangi,64.54,65.48,66.12,66.74,67.31,68.08,69,69.64,70.06,70.6,70.62,71.38,71.94,72.61,471.4080697,445.431409,450.8860579,455.4477212,460.1526754,464.5048098,468.7251107,473.5731215,471.4564282,446.9102924,450.6595457,463.3084455,468.9224214,472.512354
Barito Kuala,60.24,60.93,61.62,62.12,62.56,63.53,64.33,64.93,65.91,66.24,66.22,66.64,67.37,68.11,97.73237604,104.1995747,105.0504626,106.1130393,107.167016,108.1742773,109.1184398,110.0798878,108.4507985,113.8175549,114.5104081,130.6585395,132.1916414,133.1999938
Barito Selatan,64.51,65.1,65.76,66.2,66.61,68.27,69,69.25,69.73,70.1,70.22,70.54,71.01,71.65,27.04556095,28.2506944,28.52381502,28.85746171,29.13956755,29.40645904,29.77464111,30.02932711,29.81069716,32.2343046,32.48571777,18.89455719,19.29374847,19.41874078
Barito Timur,66.76,67.31,67.97,68.82,69.12,69.71,70.33,70.57,70.82,71.34,71.39,71.47,72.07,72.7,32.42083754,34.17046826,34.64394823,35.00500002,35.34994527,35.67878398,36.44886578,36.78667253,37.0815174,40.00111465,40.31944842,37.51895987,37.93190708,38.23054543
Barito Utara,63.87,64.36,64.72,65.12,66.3,67.38,68.28,69.07,69.72,70.52,70.59,70.79,71.21,71.84,14.00706733,14.64622889,14.81375139,14.97011214,15.12520731,15.26410287,15.43284675,15.56564605,15.69063126,16.96767697,17.10148771,15.87858973,15.98947753,16.11167348
Barru,64.94,65.73,66.07,67.02,67.94,68.64,69.07,69.56,70.05,70.6,71,71.13,71.53,72.36,124.0055342,118.9710991,120.3234888,121.5365586,123.2708507,123.4264563,124.0099909,125.1038634,122.3820834,119.6985317,119.7219829,141.9334392,142.9538689,144.105502
Batam City,76.98,77.82,78.39,78.65,79.13,79.34,79.79,80.26,80.54,81.09,81.11,81.12,81.67,82.11,,,,,,,,,,,,,,
Batang,61.64,62.59,63.09,63.6,64.07,65.46,66.38,67.35,67.86,68.42,68.65,68.92,69.45,70.2,891.2343507,810.8659478,820.9150735,829.2187246,837.2900189,845.148807,852.5632581,860.0362536,867.1564989,831.3694781,837.9242105,926.3570421,939.4388645,946.5615287
Batang Hari,65.67,66.32,66.97,67.24,67.68,68.05,68.7,68.92,69.33,69.67,69.84,70.11,70.51,71.02,51.3543212,57.81850552,56.32717261,56.89161462,57.46410623,57.99093463,58.50870526,59.05595024,59.55651883,63.15780769,63.65479246,54.44703848,54.67331665,55.11681089
Batu Bara,63.45,63.95,64.45,65.06,65.5,66.02,66.69,67.2,67.67,68.35,68.36,68.58,69.51,70.31,564.1799641,551.6764916,513.0649283,518.2658447,517.2057956,521.974873,526.5695411,531.1631556,535.4296093,538.8722998,543.0513903,457.430369,459.276065,462.4090381
Batu City,68.66,69.76,70.62,71.55,71.89,72.62,73.57,74.26,75.04,75.88,75.9,76.28,77.22,78.18,,,,,,,,,,,,,,
Baubau City,70.6,71.11,71.65,72.55,73.13,73.59,73.99,74.14,74.67,75.21,75.9,76.26,76.67,77.52,,,,,,,,,,,,,,
Bekasi,67.58,68.66,69.38,70.09,70.51,71.19,71.83,72.63,73.49,73.99,74.07,74.45,75.22,75.76,1712.090459,1809.79125,1849.345402,1863.301874,1878.972129,1893.452393,1935.689993,1953.023205,1981.581903,2035.861004,2046.936659,2508.888337,2514.769156,2532.946756
Bekasi City,76.77,77.48,77.71,78.63,78.84,79.63,79.95,80.3,81.04,81.59,81.5,81.95,82.46,83.03,,,,,,,,,,,,,,
Belitung,66.79,67.17,67.87,69.27,69.56,70.29,70.81,70.93,71.7,72.46,72.51,72.57,73.38,74.02,51.74109566,58.11790701,58.91662169,59.48758641,60.21875839,61.51463408,61.80358284,62.30485918,62.83311877,68.35309977,68.88536809,74.9405381,75.12525466,75.75566677
Belitung Timur,64.99,65.86,66.59,67.71,68.1,68.83,69.3,69.57,70.22,70.84,70.92,71.42,72.29,72.86,43.21154103,48.60525725,49.12597709,49.64799404,50.00231122,50.51974769,50.70210316,50.09969733,50.52461608,54.95939333,55.38282354,48.48047555,48.30026408,48.69200612
Belu,55.78,56.63,57.58,59.12,59.72,60.54,61.04,61.44,61.86,62.54,62.68,62.77,63.22,63.83,146.3810562,150.1713083,154.3914623,155.9689312,155.5702711,154.9095897,155.9928179,157.759331,158.9226364,165.451726,166.5097469,190.572493,191.5752152,193.0556058
Bener Meriah,67.29,68.24,69.14,69.74,70,70.62,71.42,71.89,72.14,72.97,72.98,73.27,73.9,74.49,32.6709448,32.7873672,33.08725292,33.52781328,33.47830679,33.64530626,34.25541247,34.54455213,34.71766657,37.01699743,37.30102616,88.09935137,88.24858657,88.89446124
Bengkalis,69.29,69.72,70.26,70.6,70.84,71.29,71.98,72.27,72.94,73.44,73.46,73.58,74.38,74.97,53.40488749,71.04645016,72.64362855,73.35501098,73.82387134,74.58089452,75.26266751,75.95024226,76.58763517,82.760351,83.41861386,63.22936802,65.29663106,65.76242473
Bengkayang,62.5,62.94,63.42,63.99,64.4,64.65,65.45,65.99,66.85,67.57,67.87,68.04,68.74,69.53,60.43078345,57.16613082,55.14365765,55.65115893,56.46860287,57.03111474,56.91346487,57.41568293,57.61294087,59.56591444,59.87494398,50.79011052,50.60457295,51.00009801
Bengkulu City,74.92,75.31,75.71,76.16,76.49,77.16,77.94,78.82,79.67,80.35,80.36,80.54,80.99,81.45,,,,,,,,,,,,,,
Bengkulu Selatan ,65.84,66.5,66.77,67.61,68.28,68.57,68.71,69.04,69.85,70.27,70.63,70.75,71.42,71.91,77.07652278,74.23871537,76.02717986,76.73849064,77.05472092,78.4648543,79.18018163,79.86672898,80.54973324,81.55631768,82.13423386,123.3576181,126.4833302,127.2252481
Bengkulu Tengah,61.7,62.54,63.12,63.71,64.1,64.68,65.44,65.8,66.65,67.3,67.61,67.96,68.47,68.99,60.74890415,60.82952832,62.24716386,62.85940977,64.21132233,66.97719652,67.50650852,68.09253625,68.59897508,69.46975879,69.98655781,114.8843535,116.3824114,117.3757833
Bengkulu Utara,63.5,64.61,65.47,66.67,67.27,67.46,67.63,67.8,68.36,68.8,68.82,69.28,69.77,70.28,60.97501809,56.60458434,58.00528205,58.54727979,59.3238965,59.61446428,60.15632634,60.68195888,61.18288504,61.95346788,62.4433218,66.71508508,67.81718659,68.34143862
Berau,69.16,70.43,70.77,72.02,72.26,72.72,73.05,73.56,74.01,74.88,74.71,75.2,75.74,76.21,6.063549681,7.704405504,7.825986998,7.877964031,7.95101025,8.026506225,8.119913181,8.189981828,8.255837334,8.919203235,8.993906964,11.13683719,10.9685537,11.05472196
Biak Numfor,68.22,68.8,69.05,69.35,70.32,70.85,71.13,71.56,71.96,72.57,72.19,72.33,72.85,73.46,57.93758755,86.22155994,87.28260692,88.14416648,88.32747817,87.58334372,88.33572705,89.10778479,89.66881469,95.95164349,95.9137916,51.10628754,51.42003734,51.93220233
Bima,60.19,60.62,61.05,62.08,62.61,63.48,64.15,65.01,65.62,66.37,66.3,66.66,67.57,68.28,127.4941965,125.5679322,126.9031617,128.1839798,129.1611237,128.1068807,129.2726258,130.4069945,129.6358621,130.2806219,126.9020714,112.3671249,112.3543739,113.2718736
Bima City,70.11,70.57,71.21,71.72,72.23,72.99,73.67,74.36,75.04,75.8,75.81,76.11,76.84,77.36,,,,,,,,,,,,,,
Binjai City,70.54,70.85,71.54,72.02,72.55,73.81,74.11,74.65,75.21,75.89,75.89,76.01,76.95,77.6,,,,,,,,,,,,,,
Bintan,69.87,70.47,71.01,71.31,71.65,71.92,72.38,72.91,73.41,73.98,74.13,74.57,74.99,75.7,46.01232506,50.54875085,49.13679332,49.65665296,50.13082523,50.64216469,46.13199183,46.51653211,47.02474986,55.7377503,55.75935,78.44368236,94.58094549,95.2962322
Bireuen,66.42,67.03,67.57,68.23,68.71,69.77,70.21,71.11,71.37,72.27,72.28,72.33,73.16,73.63,194.8453496,195.4609228,197.8811361,199.8844727,203.1096648,204.9170289,206.7966721,208.6497024,212.388856,226.7665373,228.5843089,247.591012,249.9591985,251.8527271
Bitung City,68.86,69.31,69.89,70.35,70.88,71.64,72.43,72.94,73.27,74.2,74.1,74.2,74.7,75.11,,,,,,,,,,,,,,
Blitar,64.79,65.47,66.17,66.49,66.88,68.13,68.88,69.33,69.93,70.57,70.58,71.05,71.86,72.49,679.7982157,642.9230258,651.0944748,657.6807385,664.1218177,680.9394961,690.5045901,696.6487392,701.8800146,664.0149754,669.2575068,671.2383307,676.8070634,681.7459306
Blitar  City,72.56,73.08,73.53,74.53,75.26,76,76.71,77.1,77.58,78.56,78.57,78.98,79.93,80.63,,,,,,,,,,,,,,
Blora,63.02,63.88,64.7,65.37,65.84,66.22,66.61,67.52,67.95,68.65,68.84,69.37,69.95,70.63,490.8391087,446.729216,452.2575066,456.8251815,461.2011202,465.4736106,476.9031955,481.0795017,483.2953626,463.2389782,466.9623112,471.8760425,469.5541051,472.8107575
Boalemo,59.92,60.52,61.11,61.71,62.18,62.86,63.42,64.22,64.99,65.53,65.91,66.42,67.27,68.18,76.34180963,83.47763673,84.55798839,85.39215837,86.57782833,87.39494922,87.44194984,89.64923187,90.86554802,91.57275644,92.29889339,74.25119706,76.49811755,77.12605757
Bogor,64.35,64.78,65.66,66.74,67.36,67.77,68.32,69.13,69.69,70.65,70.4,70.6,71.2,71.78,1109.683055,1175.153908,1191.346274,1203.400985,1217.385532,1214.789882,1233.741239,1244.534016,1243.805739,1279.025101,1289.531795,1682.375163,1706.080141,1719.445421
Bogor  City,71.25,71.72,72.25,72.86,73.1,73.65,74.5,75.16,75.66,76.23,76.11,76.59,77.17,77.85,,,,,,,,,,,,,,
Bojonegoro,62.19,63.22,64.2,64.85,65.27,66.17,66.73,67.28,67.85,68.75,69.04,69.59,70.12,70.85,585.3480965,553.3018331,560.1538741,565.8266873,571.2776401,577.6738463,582.6040669,587.7135242,592.4420781,560.5761705,565.0848971,565.6882114,570.8196119,575.3394302
Bolaang Mongondow,62.75,63.16,63.78,64.16,64.53,65.03,65.73,66.08,66.91,67.82,67.89,68.16,68.95,69.62,54.389517,53.85160247,54.51304931,55.06918692,55.34895426,55.86566162,56.61990847,56.97554981,57.15838736,57.19187002,57.63250234,73.94481057,73.97555862,74.54628365
Bolaang Mongondow Selatan,59.77,60.47,61.48,62.84,63.57,63.72,63.92,64.05,64.49,65.28,65,65.42,65.9,66.4,17.21059275,17.03492778,17.25297594,17.41489513,18.73806482,18.90676977,19.0674538,19.60074652,19.76493779,19.77742881,19.93290208,33.96354687,34.39286179,34.69360901
Bolaang Mongondow Timur ,60.04,60.93,61.93,62.64,63.12,63.81,64.44,64.73,65.21,66.08,65.99,66.55,67.21,67.95,52.80843977,52.29370466,53.02131254,53.55994358,53.91615623,54.33910438,55.41918615,55.90907503,56.13195945,56.15950937,56.59321426,97.3732387,97.35885921,98.05205087
Bolaang Mongondow Utara,61.34,62.11,62.88,63.67,64.24,64.46,65.16,65.6,66.32,66.91,66.99,67.39,68.06,68.64,35.3285344,35.20276391,35.72361451,36.07988545,36.74796838,37.06788529,37.46129198,36.43088573,36.72073971,36.74492581,38.16539191,40.93844204,42.05362366,42.42815003
Bombana,59.85,60.84,61.82,62.82,63.38,63.65,64.02,64.49,65.04,65.65,66.05,66.25,66.81,67.43,44.61020393,47.98774909,48.54251275,49.05849366,47.93376463,46.95556534,47.60404932,48.0202012,47.23892682,51.08187436,50.38228157,41.01067178,41.28351062,41.64606115
Bondowoso,59.47,60.46,62.24,63.21,63.43,63.95,64.52,64.75,65.27,66.09,66.43,66.59,67.31,67.99,492.7561686,465.8410062,471.9198886,476.6970179,481.7448874,486.8000311,491.2643387,495.3890433,498.5080941,470.9496854,474.6377005,495.9450372,499.8433833,503.8347249
Bone,59.69,60.21,60.77,61.4,62.09,63.11,63.86,64.16,65.04,65.67,66.06,66.4,67.01,67.81,167.5887682,165.510159,168.4752198,170.1784331,171.5760665,169.6576361,171.3217874,172.8941223,174.0714548,170.9028794,171.7714164,173.4628094,174.5093364,175.895308
Bone Bolango,64,64.44,65.13,65.82,66.03,66.83,67.48,68.11,69.06,69.63,69.98,70.25,70.9,71.51,24.71564092,25.41663903,25.78291469,26.04167929,30.10840367,30.38282935,31.46244508,32.1002605,36.51653504,37.03084002,37.3288522,86.48513076,86.4491301,87.14921025
Bontang City,76.97,77.25,77.55,78.34,78.58,78.78,78.92,79.47,79.86,80.09,80.02,80.59,80.94,81.56,,,,,,,,,,,,,,
Boven Digoel,56.15,56.89,57.45,57.96,58.21,59.02,59.35,60.14,60.83,61.51,61.53,61.62,62.52,63.46,0.726382627,1.110538541,1.134341079,1.14266877,1.205399732,1.320913622,1.734093054,1.802381167,1.952022306,2.090698206,2.104396268,3.309618075,3.267380745,3.299617073
Boyolali,68.76,69.14,69.51,69.81,70.34,71.74,72.18,72.64,73.22,73.8,74.25,74.4,74.97,75.41,957.5045434,871.3076415,881.3346308,890.2529056,899.2169423,908.2645966,932.4003178,940.5643724,951.9935616,915.2364252,922.8321963,959.6399813,963.257227,970.4860857
Brebes,59.49,60.51,60.92,61.87,62.55,63.18,63.98,64.86,65.68,66.12,66.11,66.32,67.03,67.95,1135.175897,1034.40172,1046.123078,1056.704646,1066.82289,1076.701836,1086.769915,1096.286889,1101.636661,1056.493194,1064.383413,1131.427242,1137.133337,1146.271805
Bukittinggi City,76.12,76.3,76.92,77.67,78.02,78.72,79.11,79.8,80.11,80.71,80.58,80.7,81.42,81.78,,,,,,,,,,,,,,
Buleleng,66.98,67.73,68.29,68.83,69.16,70.03,70.65,71.11,71.7,72.3,72.55,72.56,73.45,73.97,445.9317542,482.4843009,474.388024,479.1952231,484.5581837,488.9673556,493.3829143,496.2770439,499.2765964,497.1235181,499.8405831,579.479849,584.4230796,588.9318888
Bulukumba,62.73,63.36,63.82,64.27,65.24,65.58,66.46,67.08,67.7,68.28,68.99,69.62,70.34,71.21,393.9504833,387.5308582,387.2825869,391.2025694,393.2879865,385.0528834,389.3085951,392.721643,394.7789843,387.4925036,389.7524101,362.4463937,363.6646686,366.2327586
Bulungan,66.79,67.63,68.16,68.66,69.25,69.37,69.88,70.74,71.23,71.66,71.1,71.8,72.08,72.72,6.623931316,8.40858884,8.583129459,8.596317568,8.666049488,8.743980619,8.80970634,8.89193297,8.961789843,12.43063786,12.51169251,11.72368033,11.35519748,11.43016913
Bungo,66.28,66.7,67.2,67.54,67.93,68.34,68.77,69.04,69.42,69.86,69.92,70.15,70.55,71.06,50.99285923,57.19472568,59.25047325,59.85787593,60.21298351,60.78488737,61.3307036,61.83953223,62.36092246,66.1269667,66.64909673,78.48353179,78.89060421,79.52430828
Buol,62.21,63.03,63.98,64.5,65.41,65.61,66.37,66.69,67.3,67.69,67.82,68.25,68.72,69.57,29.61911588,30.92439765,31.35661539,31.67516065,31.90132991,32.11717351,32.29230488,31.01607168,31.34241165,32.36221176,32.65788111,32.20321251,32.66095984,32.81595827
Buru,61.6,62.5,63.5,64.31,65.15,65.75,66.63,67.61,68.25,68.91,68.95,69.33,69.94,70.56,22.19335321,24.7658016,25.06826069,25.30862898,25.31108327,25.74127737,25.96137853,26.16139751,24.67472046,25.78228234,25.39987142,26.48428413,26.66675322,26.87650431
Buru Selatan,57.3,57.98,58.91,59.89,60.74,61.48,62.19,62.75,63.62,64.42,64.69,64.8,65.37,66.23,5.273143664,5.89302263,5.973289412,6.055066674,6.415064751,6.383878667,6.455275978,6.513530884,6.613125396,6.929822414,6.976930336,13.96704553,12.01243991,12.16266428
Buton,59.44,60.12,61.38,61.83,62.31,62.78,63.69,64.47,65.08,65.67,65.98,66.32,67.23,68.12,5.796176526,6.232852742,6.331377178,6.387059791,8.064096137,10.27611446,10.46397421,10.50601892,13.77572943,14.25826191,9.812232979,31.12661604,46.77987544,47.30739889
Buton Selatan ,0,0,0,0,61.51,62,62.55,63.2,63.47,64.37,64.93,64.99,65.44,66.15,15.38514124,16.53812769,16.75711559,16.93280397,19.1238561,25.0798576,25.65513087,26.49500912,34.87068076,36.2923819,25.23262947,79.05450806,66.46543185,66.99533995
Buton Tengah ,0,0,0,0,61.69,62.13,62.56,62.82,63.46,64.06,64.37,64.55,65.29,65.83,56.05133612,60.26071185,61.03491879,61.65799988,60.56867517,48.18480124,50.5370416,50.70569748,30.11335432,33.31201247,33.40446442,96.01001404,82.82120623,83.39022683
Buton Utara,60.94,61.58,62.69,64.2,64.65,65.23,65.95,66.4,67.13,67.68,67.87,68.08,69,69.7,47.55074695,56.49179861,60.44043579,61.02583867,61.87144036,64.18751743,63.4704937,64.02804956,64.42543302,70.00248497,70.41562819,33.39911584,32.3651483,32.6569556
Central Aceh,69.17,70,70.18,70.51,70.96,71.51,72.04,72.19,72.64,73.14,73.24,73.37,73.95,74.6,24.82917721,24.90331529,25.25852616,25.46951542,25.87717464,26.44169863,26.70336073,26.93644218,27.22681494,29.06199489,29.29339358,46.38786513,46.67034492,47.02869691
Central Halmahera,58.42,59.34,59.94,60.89,61.49,62.07,63.05,63.89,64.66,65.55,65.42,65.82,66.49,67.48,6.933674861,8.086852363,8.179209455,8.269260823,8.176901999,8.543920782,8.786304055,8.853151036,6.094728543,6.075616299,5.72725277,18.17343467,18.55537315,18.56360591
Central Lampung ,64.14,64.71,65.6,66.57,67.07,67.61,68.33,68.95,69.73,70.04,70.16,70.23,70.8,71.6,372.6562427,369.2248042,368.7311168,368.7416686,369.9391182,373.5073143,376.9030878,380.2461144,383.4355344,372.911125,375.8395703,326.0534002,325.4978549,327.9292069
Central Mamuju,0,0,0,61.05,61.48,62.22,62.89,63.64,64.43,65.1,65.71,66.18,66.89,67.45,29.57643113,40.45503114,41.15902992,41.60115808,41.26134079,41.59013433,41.96518567,41.80352441,43.19193963,46.71913697,46.20541708,46.3498127,46.83750815,47.16534967
Central Tapanuli ,64.39,65.16,65.43,65.64,66.16,67.06,67.27,67.96,68.27,68.86,69.23,69.61,70.31,70.91,209.7675941,205.1303733,210.5154212,212.8424035,214.3510892,216.4469303,218.1503528,220.0469041,221.905257,223.3484191,225.1071967,147.8577547,145.9475256,145.8772173
Centre Jakarta City,77.3,77.97,78.44,78.81,79.03,79.69,80.22,80.49,81.01,81.24,81.39,81.56,82.11,82.53,,,,,,,,,,,,,,
Ciamis,64.64,65.48,66.29,67.2,67.64,68.02,68.45,68.87,69.63,70.39,70.49,70.93,71.45,72.05,507.0495266,534.6920141,538.7348256,544.1820241,564.6433621,570.0185044,575.8146648,580.8580273,584.5237459,599.690985,608.9280837,765.9900628,775.6819751,781.2946723
Cianjur,58.58,59.38,60.28,61.68,62.08,62.42,62.92,63.7,64.62,65.38,65.36,65.56,65.94,66.55,618.0803997,653.5081286,663.0001934,669.7046263,676.0911347,682.4411004,689.583158,695.626254,701.4755382,721.5788739,724.4414549,682.0073279,689.5406757,694.591563
Cilacap,64.18,64.73,65.72,66.8,67.25,67.77,68.6,68.9,69.56,69.98,69.95,70.42,70.99,71.83,797.5638361,726.5009005,735.1888635,742.6238133,749.7483905,756.7331422,764.1911582,770.8917713,775.8487174,745.1712834,750.4590709,820.3905595,827.0218394,832.709333
Cilegon City,68.8,69.26,70.07,70.99,71.57,71.81,72.04,72.29,72.65,73.01,73.05,73.35,73.95,74.54,,,,,,,,,,,,,,
Cimahi City,73.76,74.41,74.99,75.85,76.06,76.42,76.69,76.95,77.56,78.11,77.83,78.06,78.77,79.46,,,,,,,,,,,,,,
Cirebon,63.64,64.17,64.48,65.06,65.53,66.07,66.7,67.39,68.05,68.69,68.75,69.12,70.06,70.95,2015.514961,2130.303658,2157.64528,2179.475261,2200.903901,2221.576474,2254.732364,2274.511607,2314.936423,2380.927449,2392.383268,2184.389139,2193.917857,2210.308592
Cirebon City,70.74,71.49,71.97,72.27,72.93,73.34,73.7,74,74.35,74.92,74.89,75.25,75.89,76.46,,,,,,,,,,,,,,
Dairi,65.91,66.62,66.95,67.15,67.91,69,69.61,70.36,70.89,71.42,71.57,71.84,72.56,73.27,132.7319741,129.8443893,131.5827526,134.6197952,134.5714635,136.5653248,137.7731871,139.0203443,139.980715,140.8852502,142.0012041,156.0965139,157.660537,158.7414798
Deiyai,0,46.12,46.94,47.74,48.12,48.28,48.5,49.07,49.55,50.11,49.46,49.96,50.42,51.18,22.12056157,16.07681545,14.93274099,15.07023437,15.37059211,15.52294751,15.48150627,15.35375527,15.36608402,16.47640837,16.60065143,19.42419639,30.50384834,31.3716641
Deli Serdang,70.06,70.25,70.88,71.39,71.98,72.79,73.51,73.94,74.92,75.43,75.44,75.53,76.19,76.52,673.2036618,659.2675242,670.9066475,682.134069,675.9982627,671.9000403,677.965214,683.9105776,690.0591358,694.4800662,700.0298977,764.0391124,774.5153988,780.6973355
Demak,66.02,66.84,67.55,68.38,68.95,69.75,70.1,70.41,71.26,71.87,72.22,72.57,73.36,74.07,1147.330789,1043.882207,1056.791924,1067.483318,1077.599605,1087.218224,1094.941155,1104.545677,1107.720172,1061.897966,1070.449326,1196.642377,1203.777179,1213.608757
Denpasar City,79.19,79.77,80.45,81.32,81.65,82.24,82.58,83.01,83.3,83.68,83.93,84.03,84.37,84.73,,,,,,,,,,,,,,
Depok City,76.66,76.96,77.28,78.27,78.58,79.11,79.6,79.83,80.29,80.82,80.97,81.37,81.86,82.38,,,,,,,,,,,,,,
Dharmasraya,66.56,67.4,67.76,68.71,69.27,69.84,70.25,70.4,70.86,71.52,71.51,71.76,72.3,73.04,108.1900988,111.1606571,108.5307826,109.5684125,109.6678673,110.6735502,111.8282859,113.005163,113.9510274,111.2842243,112.1899196,79.10343492,80.25517187,80.89393548
Dogiyai,47.48,48.48,50.59,51.46,52.25,52.78,53.32,54.04,54.44,55.41,54.84,55,55.72,56.7,9.037866995,13.91914262,14.02666087,14.23007147,14.45262274,14.59303829,14.58299787,14.70276039,14.78939959,15.84492719,15.9703384,24.14201416,25.94159606,26.03472247
Dompu,61.44,61.84,62.6,63.16,63.53,64.56,65.48,66.33,66.97,67.83,67.84,68.45,69.15,69.98,83.3003889,82.04505618,82.32974025,83.1686665,83.95170704,85.99896685,87.09446614,87.857036,88.70750097,89.3330138,88.76901224,99.44440001,100.1324971,100.956558
Donggala,59.73,60.15,61.33,63.38,63.55,63.82,64.42,64.66,65.14,65.49,65.56,65.72,66.25,66.95,32.62283517,32.34049352,32.10873251,32.46064082,33.99503934,34.2581648,34.48841537,34.54669767,35.41391539,36.59138837,34.17694456,51.75461518,52.70523249,53.0771258
Dumai City,69.55,70.43,71.07,71.59,71.86,72.2,72.96,73.46,74.06,74.64,74.4,74.75,75.26,75.66,,,,,,,,,,,,,,
East Aceh ,61.75,62.35,62.93,63.27,63.57,64.55,65.42,66.32,66.82,67.39,67.63,67.83,68.72,69.32,45.78256569,45.92955184,46.50549191,46.97158661,47.2296907,47.66974253,48.12146373,48.54262256,48.93022271,52.20878728,52.60415961,77.71287802,78.3882015,78.98642833
East Halmahera,60.06,60.77,61.73,62.71,63.26,63.99,64.92,65.77,66.2,66.74,66.75,67,67.93,68.82,3.337681396,3.940471691,3.97515048,4.026770087,3.999586335,5.671920857,6.225007738,6.330731154,7.466136406,8.268238048,7.22022538,9.432265561,9.610424223,9.705823474
East Jakarta City,78.06,78.82,79.52,79.88,80.4,80.73,81.28,81.61,82.06,82.69,82.66,82.97,83.45,84.13,,,,,,,,,,,,,,
East Lampung ,63.23,64.1,65.1,66.07,66.42,67.1,67.88,68.05,69.04,69.34,69.37,69.66,70.58,71.21,280.3236855,277.551991,281.7132314,281.4593986,284.3305482,286.8803147,289.2067398,291.7301044,294.1539195,285.17028,287.375243,257.9770407,277.4235034,279.5235788
East Timur,54.26,54.97,55.28,55.74,56.58,56.83,57.5,58.51,59.49,60.47,60.85,61.37,62.3,63.24,,,,,,,,,,,,,,
Empat Lawang,61.11,61.86,62.3,62.74,63.17,63.55,64,64.21,64.81,65.1,65.25,65.39,66,66.68,67.19184203,63.99157366,64.73553271,65.37383359,66.11123883,66.60916689,67.19993302,67.77900781,68.28552019,74.10785445,74.69368725,138.090687,138.5782028,139.7197571
Ende,61.92,62.78,63.93,64.64,65.25,65.54,65.74,66.11,66.62,67.2,67.04,67.3,67.97,68.63,112.6020251,117.0829495,118.5277205,119.7295008,119.2042148,116.2687563,117.2829842,118.3066656,117.4456812,121.9886912,120.5233559,119.493969,120.6645526,121.610882
Enrekang,66.27,67.03,67.74,68.39,69.37,70.03,70.79,71.44,72.15,72.66,72.76,72.91,73.39,73.89,17.90991851,17.62183321,17.8445492,18.02256655,26.48509772,32.94462594,33.52497178,33.91068282,34.52859728,33.90060228,34.24162537,125.379433,126.3625056,127.3386216
Fakfak,60.95,61.94,62.56,64.29,64.73,64.92,65.55,66.09,66.99,67.87,68.36,68.52,69.12,69.72,6.726732522,7.977843397,8.140980923,8.159384767,8.177368636,8.229433198,8.35526725,8.440411325,8.48835514,9.481548812,9.526553507,6.813932344,6.175604832,6.478376179
Flores Timur,57.28,58.15,58.93,59.8,60.42,61.24,61.9,62.89,63.55,64.34,64.22,64.22,64.93,65.79,118.9810698,123.7152035,128.59305,129.8930024,130.6647321,131.2303538,132.0736138,132.6933542,133.611535,139.1149675,140.2120399,147.4063513,140.2847011,141.2546115
Garut,60.23,60.55,61.04,61.67,62.23,63.21,63.64,64.52,65.42,66.22,66.12,66.45,67.41,68.11,766.1165405,810.0249126,819.9237629,828.2156387,836.6953298,844.5663011,851.8991972,859.3720523,868.1117077,893.1328446,899.9223759,840.7464772,849.7030932,855.7751479
Gayo Lues,60.93,61.91,62.85,63.22,63.34,63.67,64.26,65.01,65.88,66.87,67.22,67.56,68.25,68.93,18.90889072,18.97029728,19.19678739,19.43367434,19.63655408,19.8218807,19.98485852,20.16229068,20.30576432,21.65897493,21.82926726,18.51575479,18.67870469,18.81260559
Gianyar,71.45,72.5,73.36,74,74.29,75.03,75.7,76.09,76.71,77.14,77.36,77.7,78.39,79.24,1210.357186,1311.643305,1329.435031,1342.879761,1356.290059,1368.299959,1381.075647,1394.368864,1386.911673,1379.911396,1389.02177,1353.766823,1408.993466,1419.810414
Gorontalo,60,61.04,61.87,62.22,62.9,63.63,64.22,64.95,65.78,66.69,66.92,67.34,68.28,69.09,259.4704662,283.1294309,284.5976751,287.4968654,288.2494717,291.3780785,291.6883114,290.9438408,290.7323937,292.85367,295.1567904,182.6731949,184.2343675,185.6295685
Gorontalo City,73.07,73.56,74.06,74.43,74.97,75.62,75.75,76.09,76.53,77.08,77.13,77.41,78.22,78.64,,,,,,,,,,,,,,
Gowa,63.83,64.42,64.65,65.45,66.12,66.87,67.7,68.33,68.87,69.66,70.14,70.29,70.99,71.57,335.1070164,327.2179282,328.7919808,332.1499333,336.8657683,366.1684144,368.3075139,371.5357083,376.233498,369.7623526,372.7036884,427.6296189,431.0474896,434.4013717
